date,interval_arbitrage,confidence_weighted,unhedged,hedged
2025-01-02,8096233.692635673,6628331.0,-12108802.894847235,-12108802.894847237
2025-01-02,6726728.024825464,2770176.9999999995,-10874885.091575716,-10874885.091575718
2025-01-02,3796864.0182651808,2736014.9999999995,-7959175.499552287,-7959175.499552286
2025-01-02,4052914.8620887347,4299150.0,-7394642.195656082,-7394642.195656083
2025-01-02,5522317.158259906,6919974.0,-10484588.564781629,-10484588.56478163
2025-01-02,253994.76051370398,8158605.0,-3398258.7646404523,-3398258.764640452
2025-01-02,6323351.562176804,-1237347.9999999998,-11307583.515963398,-11307583.515963398
2025-01-02,7614191.536932988,439587.99999999965,-10563056.688026637,-10563056.688026637
2025-01-02,13744611.989541048,2348147.0,-16568276.38114762,-16568276.381147621
2025-01-02,20001655.378848474,-3482004.0000000005,-23516682.829387113,-23516682.829387113
2025-01-02,21652128.957859293,-3505061.0,-26138604.22292463,-26138604.22292463
2025-01-02,11721078.39074248,12251112.0,-15353958.333814546,-15353958.333814546
2025-01-02,6112904.017902243,11069940.0,-9882127.482369196,-9882127.482369196
2025-01-02,4989466.137014428,660755.0,-8377965.021655221,-8377965.02165522
2025-01-02,4015537.196113107,16380108.0,-7696855.305109461,-7696855.305109461
2025-01-02,8947934.533588788,-2954211.0,-12887515.370279098,-12887515.370279098
2025-01-02,6784435.1605956135,2505004.0000000005,-12207861.225686045,-12207861.225686047
2025-01-02,4404284.092654446,5916210.0,-9229474.102107372,-9229474.102107374
2025-01-02,4507650.020506695,2653566.0,-9899810.937774071,-9899810.93777407
2025-01-02,5417515.543056947,6997914.0,-9131283.176663643,-9131283.176663643
2025-01-02,2850780.6594609264,2137325.0,-5147588.257833526,-5147588.257833526
2025-01-02,5001701.1064821165,-758419.9999999999,-7197934.510163739,-7197934.510163739
2025-01-02,4828688.545296265,977218.9999999999,-7530872.131653985,-7530872.131653985
2025-01-02,4598229.900475815,3132372.0,-6914610.907696626,-6914610.907696626
2025-01-02,472577.41082039714,2661257.0,-4202863.2113674525,-4202863.2113674525
2025-01-02,3133255.956909631,18485606.0,-6499874.991938561,-6499874.991938561
2025-01-02,7755538.844139795,3794512.9999999995,-12702213.890914764,-12702213.890914764
2025-01-02,5296264.849787145,904159.0,-9589154.597915435,-9589154.597915435
2025-01-02,7966017.282682795,1723863.0000000002,-11780899.001540933,-11780899.001540933
2025-01-02,2810413.037327974,7672908.999999998,-6629054.113550446,-6629054.113550446
2025-01-02,3420880.8981892476,8376615.0,-7205230.783771971,-7205230.783771971
2025-01-02,2323950.318748272,2242966.0,-5250082.222124146,-5250082.222124145
2025-01-02,7374669.66980903,8466822.999999998,-11112201.571121376,-11112201.571121376
2025-01-02,9401944.737633055,2684533.0,-13746105.13567215,-13746105.135672148
2025-01-02,4506823.13890637,6576523.0,-9511370.507010221,-9511370.50701022
2025-01-02,1703266.9035424467,3954803.0,-5138318.795116277,-5138318.795116277
2025-01-02,2730147.394748472,6664193.0,-6318834.279052567,-6318834.279052567
2025-01-02,7121874.354676816,1313126.0000000005,-10308471.303151706,-10308471.303151706
2025-01-03,2322857.977668402,5532190.0,-5419798.664498881,-5419798.664498881
2025-01-03,2914947.4996104757,7521450.0,-7315133.876643954,-7315133.876643955
2025-01-03,1110908.9347382712,9321815.0,-4598089.674331159,-4598089.674331159
2025-01-03,0.0,1851945.0,-4133868.9085055254,-4133868.9085055254
2025-01-03,0.0,2195548.0,-3291549.139884879,-3291549.139884879
2025-01-03,5653767.176026483,5081725.000000001,-7945075.75130621,-7945075.75130621
2025-01-03,0.0,9925041.0,-2830826.6870635757,-2830826.6870635757
2025-01-03,351944.8148119356,252995.9999999997,-4312488.430127948,-4312488.430127948
2025-01-03,181100.837137904,12414397.0,-4664648.600949142,-4664648.600949142
2025-01-03,2687738.79911576,8973155.999999998,-9200211.367010947,-9200211.367010947
2025-01-03,6630457.34943161,737596.9999999995,-10939287.502688698,-10939287.502688698
2025-01-03,9929858.946569845,-3417017.9999999995,-14873063.490965612,-14873063.490965612
2025-01-03,3834295.836319814,3428662.9999999995,-8667590.232676398,-8667590.232676398
2025-01-03,3470619.1115658074,979362.0000000001,-7922098.0055609625,-7922098.0055609625
2025-01-03,1073019.2805154263,3205220.0,-6098073.848631704,-6098073.848631703
2025-01-03,5924339.151278154,17510647.0,-12846021.31131633,-12846021.31131633
2025-01-03,6105036.196099323,10702685.0,-12416777.96257104,-12416777.96257104
2025-01-03,10507757.604486682,1802307.0,-16786186.917422503,-16786186.917422503
2025-01-03,2516970.816938278,6255221.000000001,-7974807.662378934,-7974807.662378935
2025-01-03,5459960.44740564,1227915.9999999993,-10915338.309708059,-10915338.309708059
2025-01-03,4021427.5950117717,3613098.0000000005,-8278104.260615819,-8278104.26061582
2025-01-03,9349762.414318481,-131878.99999999977,-13824318.727408666,-13824318.727408666
2025-01-03,5446552.766328539,7147029.999999999,-12424184.199047787,-12424184.199047787
2025-01-03,778015.7321556634,15853325.0,-5950495.5383952,-5950495.5383952
2025-01-03,2458988.255311488,-139643.0000000003,-10570971.730381984,-10570971.730381984
2025-01-03,597610.1873349316,5750290.0,-6744263.654868336,-6744263.654868335
2025-01-03,0.0,141050.0,-7639574.790400343,-7639574.790400343
2025-01-03,6119026.986636502,1290209.0000000002,-8645533.912571259,-8645533.912571259
